Freq, Max, Phase1,Phase2,Phase3,,Freq,Max,Phase,,,,,
60,68,50.7,50.3,50,,20,94,-15,-13.2,-14.1,-15.5,-14.45,Input 100
70,74,43.9,45.3,46.7,,25,92,-16.6,-18,-16.5,-17,-17.025,
80,76,39.5,44.7,40.7,,30,90,-22,-22.5,-23.3,-22.6,-22.6,
90,80,36.5,38,38.8,,40,86,-32.1,-28.2,-31.3,-27.2,-29.7,
100,84,37,37.4,34.5,,50,80,-33.8,-35.2,-33.1,-34.6,-34.175,
120,88,29.7,34,32,,60,74,-39.5,-36.7,-38.8,-37.9,-38.225,
160,92,26.5,24.8,25.3,,70,70,-48.3,-47.1,-45.3,-47.4,-47.025,
200,96,19.4,17.3,19.5,,80,64,-51.9,-45.9,-47.2,-46,-47.75,
250,,15.3,18,14.4,,90,58,-48.1,-46.5,-49.2,-50.7,-48.625,
300,,11.9,10.8,13,,100,56,-53.3,-52.7,-54.2,-52.5,-53.175,
400,,9.81,10.4,13.8,,120,48,-58,-60,-58.8,-60.9,-59.425,
500,,8.61,6.48,7.89,,140,43,-58.3,-57.2,-62.5,-63.9,-60.475,
600,,6.06,7.98,4.93,,160,39,-60,-67,-65.8,-69,-65.45,
800,,5.45,4.89,6.63,,180,35,-62.2,-65.8,-61.7,-64.4,-63.525,
1000,,3.61,4.68,5.4,,200,33,-73.6,-68.4,-64.9,-71.3,-69.55,
1500,,3.23,4.3,2.17,,250,27,-74,-77,-73.8,-75.1,-74.975,
2000,,1.44,2.89,1.45,,300,22.4,-72.8,-76.9,-73.3,-77,-75,206
3000,,1.08,1.62,2.17,,350,19.6,-78,-80.4,-75.3,-79,-78.175,182
5000,,1.8,3.6,0,,400,17.6,-77,-78,-75.6,-79.3,-77.475,158
7000,,0,2.5,1.69,,500,14.4,-83.8,-81.1,-79.5,-81.6,-81.5,128
15000,,0,NA,NA,,600,12.4,,,,,,110
,,,,,,700,11,,,,,,94
,,,,,,800,9.8,,,,,,84
,,,,,,900,8.8,,,,,,74
,,,,,,1000,8,,,,,,66
,,,,,,1400,6.4,,,,,1250,54
,,,,,,,,,,,,1500,46
,,,,,,,,,,,,1750,42
,,,,,,,,,,,,2000,36
,,,,,,,,,,,,2500,30
,,,,,,,,,,,,3000,24
,,,,,,,,,,,,4000,17.6
,,,,,,,,,,,,5000,14.6
,,,,,,,,,,,,7500,10
,,,,,,,,,,,,10000,8.2
,,,,,,,,,,,,15000,6
