frequency 	 coefficient 	 phase
245.054	0.505248	2.12273
735.162	0.85117	2.64057
1225.27	0.930283	2.83832
1715.38	0.945468	2.92954
2205.49	0.961207	2.9754
2695.59	0.945356	3.01514
3185.7	0.96039	3.0352
3675.81	0.958585	3.02294
4165.92	0.960494	3.08829
4656.03	0.960443	3.08847
5146.13	0.981778	3.09153
5636.24	0.959687	3.10996
6126.35	0.96139	3.09937
6616.46	0.934403	3.11395
7106.57	0.947254	0.0111863
7596.67	0.955578	0.0132551
8086.78	0.943584	0.0326408
8576.89	0.969831	0.0341037
9067	0.958377	0.0399408
9557.11	0.945878	0.0576557
