Coef. sin 	 Coef. cos
0	 	-5.128
2092.52	 	15.3837
0.0753928	 	-5.12726
697.295	 	15.3812
0.150753	 	-5.12504
418.122	 	15.3763
0.226048	 	-5.12135
298.386	 	15.3689
0.301245	 	-5.11618
231.795	 	15.3591
0.376312	 	-5.10954
189.362	 	15.3468
0.451217	 	-5.10143
159.937	 	15.332
0.525926	 	-5.09186
138.316	 	15.3148
0.600408	 	-5.08082
121.746	 	15.2952
0.67463	 	-5.06833
108.631	 	15.2731
0.748561	 	-5.05439
97.9846	 	15.2486
0.822168	 	-5.03901
89.1631	 	15.2217
0.89542	 	-5.02219
81.7284	 	15.1924
0.968285	 	-5.00394
75.3726	 	15.1606
1.04073	 	-4.98428
69.8726	 	15.1265
1.11273	 	-4.9632
65.0628	 	15.09
1.18424	 	-4.94073
60.8181	 	15.0511
1.25525	 	-4.91687
57.0416	 	15.0099
1.32571	 	-4.89164
53.6575	 	14.9663
1.3956	 	-4.86503
50.6058	 	14.9204
1.46489	 	-4.83708
47.8378	 	14.8722
1.53354	 	-4.80779
45.3141	 	14.8217
1.60153	 	-4.77718
43.0024	 	14.769
1.66883	 	-4.74526
40.8757	 	14.7139
1.73541	 	-4.71204
38.9116	 	14.6566
1.80124	 	-4.67755
37.091	 	14.5971
1.8663	 	-4.64179
35.3978	 	14.5354
1.93054	 	-4.60479
33.8184	 	14.4715
1.99396	 	-4.56657
32.3408	 	14.4054
2.05651	 	-4.52714
30.955	 	14.3372
2.11818	 	-4.48652
29.6519	 	14.2668
2.17894	 	-4.44473
28.424	 	14.1944
2.23875	 	-4.4018
27.2643	 	14.1199
2.2976	 	-4.35774
26.167	 	14.0433
2.35546	 	-4.31257
25.1268	 	13.9647
2.41231	 	-4.26632
24.1389	 	13.8841
2.46812	 	-4.21901
23.1994	 	13.8015
2.52286	 	-4.17066
22.3043	 	13.717
2.57652	 	-4.1213
21.4504	 	13.6306
2.62907	 	-4.07095
20.6348	 	13.5422
2.68049	 	-4.01963
19.8547	 	13.452
2.73076	 	-3.96737
19.1077	 	13.36
2.77985	 	-3.9142
18.3916	 	13.2661
2.82775	 	-3.86014
17.7045	 	13.1705
2.87443	 	-3.80522
17.0444	 	13.0731
2.91988	 	-3.74946
16.4099	 	12.974
2.96407	 	-3.6929
15.7993	 	12.8733
3.007	 	-3.63556
15.2113	 	12.7709
3.04863	 	-3.57747
14.6447	 	12.6668
3.08896	 	-3.51865
14.0982	 	12.5612
3.12796	 	-3.45915
13.5708	 	12.4541
3.16562	 	-3.39898
13.0616	 	12.3454
3.20193	 	-3.33818
12.5696	 	12.2352
3.23687	 	-3.27678
12.094	 	12.1236
3.27043	 	-3.2148
11.634	 	12.0106
3.30258	 	-3.15229
11.1889	 	11.8962
3.33333	 	-3.08926
10.758	 	11.7805
3.36266	 	-3.02576
10.3408	 	11.6635
3.39055	 	-2.96181
9.93662	 	11.5452
3.41699	 	-2.89745
9.54496	 	11.4257
3.44198	 	-2.83271
9.16532	 	11.305
3.46551	 	-2.76762
8.79722	 	11.1832
3.48756	 	-2.70222
8.44024	 	11.0602
3.50813	 	-2.63654
8.09397	 	10.9362
3.52722	 	-2.57061
7.75802	 	10.8111
3.5448	 	-2.50446
7.43203	 	10.6851
3.56089	 	-2.43813
7.11567	 	10.5581
3.57547	 	-2.37166
6.80862	 	10.4302
3.58854	 	-2.30508
6.51059	 	10.3014
3.60009	 	-2.23842
6.22129	 	10.1718
3.61012	 	-2.17172
5.94046	 	10.0414
3.61863	 	-2.10501
5.66784	 	9.91024
3.62562	 	-2.03833
5.4032	 	9.77838
3.63109	 	-1.97171
5.14632	 	9.64585
3.63504	 	-1.90519
4.89699	 	9.5127
3.63746	 	-1.8388
4.655	 	9.37897
3.63836	 	-1.77258
4.42016	 	9.24469
3.63774	 	-1.70657
4.19228	 	9.10991
3.6356	 	-1.64079
3.97121	 	8.97467
3.63195	 	-1.57528
3.75677	 	8.83902
3.62679	 	-1.51008
3.54881	 	8.70299
3.62013	 	-1.44523
3.34717	 	8.56663
3.61197	 	-1.38076
3.15171	 	8.42998
3.60232	 	-1.3167
2.9623	 	8.29308
3.59119	 	-1.25309
2.7788	 	8.15597
3.57858	 	-1.18996
2.60109	 	8.0187
3.56451	 	-1.12735
2.42905	 	7.88131
3.54897	 	-1.0653
2.26256	 	7.74384
3.53199	 	-1.00384
2.1015	 	7.60632
3.51358	 	-0.942998
1.94578	 	7.46882
3.49374	 	-0.882816
1.79529	 	7.33135
3.47249	 	-0.823327
1.64993	 	7.19398
3.44984	 	-0.764564
1.5096	 	7.05673
3.4258	 	-0.706561
1.3742	 	6.91965
3.4004	 	-0.649352
1.24365	 	6.78278
3.37365	 	-0.592971
1.11786	 	6.64617
3.34555	 	-0.53745
0.996745	 	6.50985
3.31614	 	-0.482823
0.880219	 	6.37386
3.28543	 	-0.429122
0.768202	 	6.23824
3.25343	 	-0.37638
0.660615	 	6.10304
3.22016	 	-0.32463
0.557383	 	5.9683
3.18565	 	-0.273902
0.45843	 	5.83405
3.14992	 	-0.224229
0.363683	 	5.70033
3.11298	 	-0.175641
0.273071	 	5.56718
3.07486	 	-0.128171
0.186523	 	5.43465
3.03559	 	-0.081847
