frequency 	 coefficient 	 phase
4.39999	4.77161	-2.48754
13.2	2.44928	-1.96402
21.9999	1.44061	-1.74449
30.7999	0.929427	-1.69554
39.5999	0.670796	-1.6451
48.3999	0.547638	-1.80407
57.1999	0.351733	-1.67382
65.9998	0.291566	-1.72767
74.7998	0.171873	-2.43272
83.5998	0.193555	-2.32489
92.3998	0.0693551	-2.82103
101.2	0.107326	-2.07958
110	0.168211	-0.952973
118.8	0.135261	-1.96159
127.6	0.16221	-1.50077
136.4	0.269699	-0.835789
145.2	0.222384	-1.27142
154	0.363933	-1.27618
162.8	0.383559	-1.58555
171.6	0.288531	-1.69408
180.4	0.456473	-1.46469
189.2	0.522066	-1.36611
198	0.431779	-1.51757
206.8	0.526542	-1.45228
215.599	0.548871	-1.49379
224.399	0.639532	-1.31958
233.199	0.643852	-1.44029
241.999	0.602415	-1.33237
250.799	0.690355	-1.33662
259.599	0.702625	-1.33145
268.399	0.75861	-1.37255
277.199	0.791837	-1.33926
285.999	0.823232	-1.33714
294.799	0.854967	-1.32366
303.599	0.891027	-1.35251
312.399	0.937414	-1.35412
321.199	1.01898	-1.32068
329.999	1.04041	-1.31902
338.799	1.23442	-1.28784
347.599	1.08418	-1.32501
356.399	1.17517	-1.1919
