frequency 	 coefficient 	 phase
0.20944	0.465057	-1.08845
0.628319	0.84574	-0.566912
1.0472	0.936581	-0.36487
1.46608	0.967226	-0.266356
1.88496	0.980741	-0.209107
2.30383	0.987802	-0.171913
2.72271	0.991933	-0.145872
3.14159	0.994551	-0.126646
3.56047	0.996313	-0.11188
3.97935	0.997553	-0.100187
4.39823	0.99846	-0.0907017
4.81711	0.999142	-0.0828531
5.23599	0.999667	-0.0762525
5.65487	1.00008	-0.0706248
6.07375	1.00041	-0.0657699
6.49262	1.00068	-0.0615387
6.9115	1.00091	-0.0578186
7.33038	1.00109	-0.0545224
7.74926	1.00125	-0.0515816
8.16814	1.00138	-0.0489418
8.58702	1.00149	-0.0465588
9.0059	1.00159	-0.0443971
9.42478	1.00168	-0.0424274
9.84366	1.00175	-0.0406251
10.2625	1.00182	-0.0389695
10.6814	1.00188	-0.0374439
11.1003	1.00193	-0.0360333
11.5192	1.00198	-0.0347248
11.9381	1.00202	-0.0335082
12.3569	1.00206	-0.0323741
12.7758	1.00209	-0.0313147
13.1947	1.00212	-0.030322
13.6136	1.00215	-0.0293905
14.0324	1.00217	-0.0285152
14.4513	1.0022	-0.0276899
14.8702	1.00222	-0.0269107
15.2891	1.00224	-0.026175
15.708	1.00226	-0.0254783
16.1268	1.00227	-0.0248177
16.5457	1.00229	-0.0241908
16.9646	1.0023	-0.0235947
17.3835	1.00231	-0.0230278
17.8024	1.00233	-0.0224874
18.2212	1.00234	-0.0219711
18.6401	1.00235	-0.0214785
19.059	1.00236	-0.0210078
19.4779	1.00237	-0.0205575
19.8968	1.00238	-0.0201259
20.3156	1.00239	-0.0197115
20.7345	1.00239	-0.0193142
21.1534	1.0024	-0.0189331
21.5723	1.00241	-0.0185664
21.9911	1.00241	-0.0182141
22.41	1.00242	-0.0178752
22.8289	1.00243	-0.0175477
23.2478	1.00243	-0.0172327
23.6667	1.00244	-0.0169296
24.0855	1.00244	-0.016636
24.5044	1.00245	-0.016352
24.9233	1.00245	-0.0160784
25.3422	1.00246	-0.0158139
25.7611	1.00246	-0.0155578
26.1799	1.00246	-0.0153095
26.5988	1.00247	-0.0150696
27.0177	1.00247	-0.0148379
27.4366	1.00247	-0.0146123
27.8555	1.00248	-0.0143936
28.2743	1.00248	-0.0141819
28.6932	1.00248	-0.0139747
29.1121	1.00249	-0.0137738
29.531	1.00249	-0.01358
29.9498	1.00249	-0.0133913
30.3687	1.00249	-0.0132079
30.7876	1.0025	-0.0130295
31.2065	1.0025	-0.0128555
31.6254	1.0025	-0.0126861
32.0442	1.0025	-0.0125208
32.4631	1.0025	-0.0123606
32.882	1.00251	-0.0122047
33.3009	1.00251	-0.0120516
33.7198	1.00251	-0.0119028
34.1386	1.00251	-0.0117585
34.5575	1.00251	-0.0116171
34.9764	1.00251	-0.011478
35.3953	1.00252	-0.0113431
35.8142	1.00252	-0.0112128
36.233	1.00252	-0.011084
36.6519	1.00252	-0.010958
37.0708	1.00252	-0.0108353
37.4897	1.00252	-0.0107146
37.9086	1.00252	-0.0105973
38.3274	1.00253	-0.0104828
38.7463	1.00253	-0.0103706
39.1652	1.00253	-0.0102622
39.5841	1.00253	-0.0101537
40.0029	1.00253	-0.0100468
40.4218	1.00253	-0.00994551
40.8407	1.00253	-0.00984498
41.2596	1.00253	-0.00974452
41.6785	1.00253	-0.00964706
